"name","position","company","image","bio","venue","day","time","topic","topic_summary"
"Joel Neeb","Former VP of Execution and Transformation","VMware","https://eco-cdn.iqpc.com/eco/images/speakers/eDAMTKUh4P3dxGkgNXia4FMwujanZRE36OXFgEyw.png","Joel ""Thor"" Neeb, VP of Execution and Transformation at VMware, has been a pivotal force in transitioning the company into a SaaS leader. Under his guidance, VMware surpassed its $5 billion SaaS revenue goal a year early, while managing a 40,000-employee workforce through significant cultural and operational changes. Joel's strategic approach notably included retaining 99% of key talent during a period of high attrition and playing a key role in VMware's acquisition by Broadcom.    Prior to VMware, Joel led Afterburner, a consultancy serving Fortune 100 companies and sports teams, and had an illustrious career as an F-15 Aviator and Mission Commander in the U.S. Air Force. Joel is also an accomplished athlete, having completed a triathlon and participated in four seasons of ""American Ninja Warrior.""","Main Conference Day Two","2024-01-30","16:45:00","The Insight Age","Join Joel Neeb, the former VP of Execution and Transformation at VMware, for an enlightening journey into the heart of business transformation. Discover how VMware spectacularly shifted its operating model from traditional software enterprise sales to a cutting-edge SaaS business model in just 24 months, achieving an astonishing $5 billion in Annual Recurring Revenue.
In this session, you'll uncover the secrets to aligning your company culture and operations to thrive in the complexity of today's fast-evolving business landscape. Learn how simplicity isn't just a buzzword, but a superpower that can redefine the way you navigate through chaos. Joel will share enterprise-proven transformational templates that have been instrumental in streamlining VMware’s internal operations, tools, and culture, all aimed towards a singular, unified vision.
But that's not all. You'll also gain insights into how this transformation journey has enabled VMware to curate a rich repository of enterprise data, setting the stage for future advancements in the age of GenAI. Whether you're looking to transform your team or your entire business, this talk is an unmissable opportunity to equip yourself with the strategies needed to dominate in a world where change is the only constant."
"Joe Crady","Chief of Training for Improvement and Innovation","US Air Force","https://eco-cdn.iqpc.com/eco/images/speakers/NldrCLKjxoL4xv27IDvtsWjcsozq7aExCdaTBZpo.png","Joe is a force development leader with over
40 years of experience leading force development and transformation in the USAF.
He is passionate about leveraging continuous improvement and innovation methodologies
that digitally transform, increase performance, and deliver outcomes across the
business and operations missions.  Joe’s diverse
skills and experience cut across business systems, operations, force
development, technology, and strategy.  He
is leveraging existing force development processes to increase continuous
improvement and innovation excellence that support intelligent automation technologies
such as RPA and AI.","Main Conference Day Three & Post-Conference Masterclasses","2024-01-31","11:05:00","“Innovation is the Easy Part. Innovation Adoption is the Challenge”: The Air Force’s Journey of Scaling Innovation","With over 200 operating locations and over 689,0000 personnel, Innovative ideas are plentiful across the Air and Space Forces. However, regulation-induced restrictions, green-shade scrutiny-based doubt, walls of cognitive bias and more combine to ensure that adopting innovation ideas and scaling them is a major challenge. This session will share challenges and enterprise mitigation methods, as well as mechanisms for managing the system to deploy and scale the best ideas.
·       Changing our mindset from continuous improvement to enterprise performance management and enhancement
·       Building out methodologies of how to take innovation ideas and deploy them so that they are applicable across over 200 operating locations
·       Implementing a venture capital mechanism to build out decision tollgates for business cases and reduce risk in the process
·       Culture eats strategy for breakfast: investing in the innovation culture by integrating the right type of innovation and building a mechanism for culture change"
"Rush Fozo","Senior Vice President, Investment Operations Outsourcing","Northern Trust","https://eco-cdn.iqpc.com/eco/images/speakers/ZIhpARZQUV9uwR6i6HrsEtljrQj9XGm4rpdHIR6I.png","Rush Fozo is the Director of Operational Excellence for Investment Operations Outsourcing and a Senior Vice President at Northern Trust. Rush is responsible for the development and deployment of a global process excellence program to improve the client experience, employee engagement and operational efficiency through the utilization of process innovation, data analytics and automation.      Prior to joining Northern Trust, Rush held various leadership roles at J.P. Morgan Chase and KeyBank. His focus was delivering top and bottom line results through process innovation and the deployment of technology solutions. Rush holds a Bachelor’s degree from Purdue University and a Master in Business Administration from DePaul University’s Kellstadt Graduate School of Business.","Pre-Conference Workshops, Focus Days & Main Conference Day One","2024-01-29","08:20:00","A1: Leveraging OKR (Objectives and Key Results) to Drive Alignment and Accelerate Transformation","Join this workshop to hear a unique approach and lessons learned from Northern Trust on how they have leveraged OKR principles to bind together their global Investment Operations Outsourcing organization and their transformation initiatives. Rush will also share how they have embedded OKR into their OPEX and transformation frameworks.
·       An evolution of Northern Trust’s Investment Operations.
·       Outsourcing the transformation journey from lean to automation and analytics
·       Overcoming challenges with organizational alignment by leveraging OKR
·       Deployment of a quarterly planning cadence to refine key transformation goals
·       Driving alignment by creating a common language amongst the global operations organization
·       Having a clear understanding of what successes look like and measuring them along the way"
"Rush Fozo","Senior Vice President","Northern Trust","https://eco-cdn.iqpc.com/eco/images/speakers/ZIhpARZQUV9uwR6i6HrsEtljrQj9XGm4rpdHIR6I.png","Rush Fozo is the Director of Operational Excellence for Investment Operations Outsourcing and a Senior Vice President at Northern Trust. Rush is responsible for the development and deployment of a global process excellence program to improve the client experience, employee engagement and operational efficiency through the utilization of process innovation, data analytics and automation.      Prior to joining Northern Trust, Rush held various leadership roles at J.P. Morgan Chase and KeyBank. His focus was delivering top and bottom line results through process innovation and the deployment of technology solutions. Rush holds a Bachelor’s degree from Purdue University and a Master in Business Administration from DePaul University’s Kellstadt Graduate School of Business.","Main Conference Day Two","2024-01-30","19:00:00","The 25th Global OPEX & Business Transformation Awards Ceremony & Party (Open to all conference attendees)","As you step back into the plenary conference room, you'll be greeted by a dazzling transformation that reflects the true spirits for a glamorous and illustrious celebration, setting the stage for the grandeur of the 25th Global OPEX & Business Transformation Awards Ceremony. For years, these distinguished awards have been a beacon of recognition, celebrating exceptional leaders, projects, and teams that have been at the forefront of driving transformative results. Tonight, we come together once again, with the support of our esteemed sponsors, judges and board members, in a magnificent display of style and elegance to honor these visionary trailblazers.
After the awards ceremony, all of you are invited to join us at the Awards Party to not only celebrate with those just won the awards, but also to toast to the great community we have built for the past quarter of a century. A perfect opportunity to be immersed with colleagues, peers and the other fellow attendees for connection and networking. Enjoy this very special night of brilliance, recognition and celebration!
You’ll be finding out who’s the best of the best for this year.
There’s still time to apply, write to us at
opexawards@iqpc.co.uk"
"Jeff Goodhue","Principal Business Automation Technical Leader","IBM","https://eco-cdn.iqpc.com/eco/images/speakers/Lby2tZD9RYrMZxuCmYWIGbXKsHd2TiPgCPbUP2Lh.png","Jeff is a Principal Technical Specialist leading an experienced team of Americas technical specialists in AI Cloud-based Business Automation solutions (Assistants, BPM/Case, Decisions, Content Services, Process Mining) through engagement with clients, understanding their business problems and designing solutions that exceed their automation needs. Driving a vibrant, technical community across the Americas in IBM to share accelerators, assets, demos, workshops and more that build skills excellence and demonstrate thought leadership to IBM clients to grow their success. Working directly with clients, he enjoys dynamic interactions between business and IT and focuses his career on emerging and influential technologies that enable business users to engage in automation. Jeff is an Open Group Certified Distinguished IT Specialist, IBM CP4BA Certified, and holds a Software Systems Engineering degree from the University of Arizona College of Engineering.","Pre-Conference Workshops, Focus Days & Main Conference Day One","2024-01-29","10:00:00","B3: Reinventing Business Process through Automation and Generative AI","Despite transformation efforts, many companies are still riddled with manual processes and unstructured data which is hindering these attempts. This session will take a deep look into how we can turn this seemingly overwhelming challenge into opportunities that lead to positive transformation results. In this workshop, we will:
·       Explore IBM’s AI Assistants that bring the power of automation and generative AI technology to employees’ hands
·       Learn how to get started with use cases for driving adoption of generative AI and improving employee productivity
·       Get hands-on experience with IBM watsonx Orchestrate and
watsonx.ai
to build a process for streamlining work and freeing up employees to focus on higher value tasks
Join IBM technical experts, Jeff Goodhue and Ryan Sparks, for this exciting hands-on experience. Please bring your laptop; we will provide access to all of the tools you need to complete the hands-on lab."
"Hillel Lehmann","Vice President and Head of Transformation & Long Term Strategy","Nestlé Health Science","https://eco-cdn.iqpc.com/eco/images/speakers/Daqaajjl7X7QxeyaC4DuybyqLTRsjMshfzDZ8HOV.png","","Chief Transformation Officer Summit (Invitation Only)","2024-01-30","09:25:00","Case Study: Business Reinvention Towards the Digital Enterprise through Generative AI",""
"Jose Varela","Senior Vice President, Global Service Centers","3M","https://eco-cdn.iqpc.com/eco/images/speakers/5UWuqxMxhqYlQQJ3PeqTd1bPy2slOnOhLRTJLeoJ.png","Jose Varela Garza is the Senior Vice President of 3M’s Global Service Centers.  The Global Service Center’s support the whole company by housing back and front office activities worldwide. Jose has held various area and global leadership business and functional roles throughout his 34-year career at 3M, at 3M HQs in the USA and at international locations such as Chile, Mexico, Brazil and Hong Kong.  Jose holds a degree in Computer Programming, studied Business Administration, and currently completing Master of Science, Computer Science and International Business through University of Cumbria, England.","Pre-Conference Workshops, Focus Days & Main Conference Day One","2024-01-29","16:30:00","The All-Star Panel: The Time Is Now - The Paradigm Shift from Business Transformation to Business Reinvention & Unlocking the New Growth Frontier","Most business transformations take place in one part of the business and deliver marginal gains on efficiency. However, that will no longer be sufficient for the future transformation landscape. Businesses are required to self-disrupt, reinvent existing business models and embrace paradigm shifts, not only to drive cost benefits, but also to deliver a step change and unlock new growth opportunities. In this thought-provoking all-star session, we have invited the leaders who are driving beyond business transformation to delve into the new possibilities of business reinvention.
·       The time is now: examining the new imperatives for business reinvention
·       What does it take to build self-disruptive customer-centric reinvention strategies?
·       Building a connected and interoperable digital core to leverage the unleash the power of data and AI"
"Ryan Mayer","Head of Healthineer Performance System – Americas","Siemens Healthineers","https://eco-cdn.iqpc.com/eco/images/speakers/wsGAkLdAc4r0cHg6JcvjcKWmVnoqbwiWkYbYvF8c.png","Transformation leader with a focus on execution and a passion for people.  Change Architect, Problem Solving, Innovation, Consulting, and application of Lean Six Sigma, and Management principles.  He focuses on guiding business leaders by identifying links among business strategy, processes, and improvement projects. He focuses on measurable, sustainable results.  Examples of results Ryan has helped teams achieve include:    •	Increase speed to serve customers.  •	Manage business with data.  •	Develop and deploy Lean Six Sigma training.  •	Design and deploy Lean Six Sigma principles.     With over 18 years of leadership and management experience at Fortune 500 corporations, Ryan has experience ranging across Service Operations, Sales, and Finance including running a multi-million dollar P&L.  At BioReference Laboratories he has returned 8.5x his P&L.  He was a finalist for Most Innovative Project at the International Quality and Productivity Conference in 2008.","","","","",""
"Hector Munoz","Managing Director, FS Business Transformation","EY","https://eco-cdn.iqpc.com/eco/images/speakers/yJoHo4TW0xxWuleyoJIkNx8wS5bJKTC4Lhvg1l6q.png","","Pre-Conference Focus Days (Workshops and Focus Days Running Concurrently. Choose THREE workshops or ONE focus day to attend)","2024-01-29","09:00:00","Opening Panel: AI for Financial Services: Unlocking Opportunities, Transforming Operations, and Navigating Risks","Embrace the AI Revolution: Join us as industry leaders explore the powerful impact of Artificial Intelligence on the financial services landscape. Gain valuable insights into their companies’ strategies, perspectives, and plans for harnessing AI technologies to transform their organizations. Discover how AI is changing customer interactions, optimizing operations, and creating new opportunities.
Expand your imagination to visualize how AI can enhance customer experience, optimize operations, and improve risk management, among many things.
Discover how business transformation projects involving AI differ from those with other technologies
Explore inherent risks that are uniquely associated with AI transformation projects."
"Sarah Wooledge","Head of Operations","LCS","https://eco-cdn.iqpc.com/eco/images/speakers/zwWwCUbGKsXmhBEy9WnLiPvoeQ2LlJc4D6g6A2RX.png","","Main Conference Day Two","2024-01-30","14:35:00","The formula for Operational Excellence success: learnings from the successes and failures of over 200 deployments","Operational Excellence attempts are well known for providing hit or miss results, but what truly lies beneath this? When we took a step back and studied hundreds of deployments that have been delivered across most industries globally, we were surprised at what jumped out at us. A number of critical themes emerged that when used together, greatly enhanced the successful deployment of Operational Excellence and where one (or more) was missing, the results were far less impressive. So what is this formula for success? Join this session to find out."
"Ashish Gupta","CFO North America, Hygiene","Reckitt","https://eco-cdn.iqpc.com/eco/images/speakers/mGinac4iB4wxSoJXW87yU2hRdYqZLALcEOiWAKZs.png","An Enterprise wide Strategy, Transformation change leader and CFO - Transformation business and leading teams globally for out performance in diverse geographies like Europe, Middle East, East Asia, South Asia and Africa. Leading teams to deliver outstanding business results, managing End-to-End P&L delivery and transformational change across businesses and organization. An experience of successful strategic leadership and operational delivery of results in 13 roles in 7 international locations including Cluster CFO, Area Controllership, Global Supply Finance Director and Transformation/Strategy over the last 20+ years.","Main Conference Day Two","2024-01-30","16:10:00","Panel Discussion: Switching the Transformation Gear to Accelerate Growth","In addition to efficiency gains, companies are now looking at new dimensions of transformation to drive significant growth. This panel discussion aims to explore the shifting context of transformation and discuss how organizations can switch gears to accelerate growth.
·       Adapting to the new business reality by growing and transforming at the same time
·       How can transformation lead to growth: going beyond process and technology to bring in strategy and leadership as key levers
·       Linking transformation with customer centricity to unlock new growth opportunities"
"Steve Towers","President","BP Group","https://eco-cdn.iqpc.com/eco/images/speakers/R9Uqyeo79OlyPFeJgXwsRHNrnO5xPIoLTSa9FvOe.png","","Main Conference Day Two","2024-01-30","19:00:00","The 25th Global OPEX & Business Transformation Awards Ceremony & Party (Open to all conference attendees)","As you step back into the plenary conference room, you'll be greeted by a dazzling transformation that reflects the true spirits for a glamorous and illustrious celebration, setting the stage for the grandeur of the 25th Global OPEX & Business Transformation Awards Ceremony. For years, these distinguished awards have been a beacon of recognition, celebrating exceptional leaders, projects, and teams that have been at the forefront of driving transformative results. Tonight, we come together once again, with the support of our esteemed sponsors, judges and board members, in a magnificent display of style and elegance to honor these visionary trailblazers.
After the awards ceremony, all of you are invited to join us at the Awards Party to not only celebrate with those just won the awards, but also to toast to the great community we have built for the past quarter of a century. A perfect opportunity to be immersed with colleagues, peers and the other fellow attendees for connection and networking. Enjoy this very special night of brilliance, recognition and celebration!
You’ll be finding out who’s the best of the best for this year.
There’s still time to apply, write to us at
opexawards@iqpc.co.uk"
"Lenna Perlman","Managing Director, Business Strategy and Management","MUFG Bank, N.A.","https://eco-cdn.iqpc.com/eco/images/speakers/v0ZxNyWSvmGUuutSeQJgi8GF0ty8sXNsQn3v1rsf.png","Lenna Perlman is Managing Director, Business Strategy and Management responsible for Strategic Program Execution in the Strategy Office at MUFG Bank Ltd.   In this role her primary areas of focus are the oversight and execution of M&A integration and divestiture activities, most recently leading the bank in the divestiture of Union Bank to US Bank, and end to end business transformation efforts.      During her career with MUFG, Lenna served as the Head of the Office of the CIOO where she led various cost savings and organizational review initiatives designed to ensure strategic alignment and add value for Operations and Technology and the firm, both in the Americas and for the home office in Japan. Prior to that she worked in the project management office in the Systems Office of the Americas. In this group, Lenna played a leadership role with the technology integration undertaken during the merger of Union Bank and BTMU, and also led the development of the Central Directory Layer (CDL) Application, a foundational element to the Branch’s Core Banking implementation. She has been with Bank of Tokyo Mitsubishi UFJ/MUFG Union Bank since 2012.    Prior to joining MUFG, Lenna worked at JP Morgan Chase from 1998 to 2012, where she held various roles in Home Lending Borrower’s Assistance, Global Technology Infrastructure, Global Service Delivery Management and the Sourcing Advisory Group. Most notably, she successfully led cross-functional teams that exceeded stringent requirements imposed by the OCC Consent Order and Settlement with the Attorney’s General, achieving excellent customer service in an accelerated timeline.    Her previous experience also included positions at Enron Capital and Trade Resources, Lehman Brothers, St Vincent’s Hospital, and Drexel Burnham Lambert.     Lenna studied physical sciences at SUNY Albany and is a certified Six Sigma Black Belt.","","","","",""
"Ryan Sparks","Advisory Business Automation Tech Leader","IBM","https://eco-cdn.iqpc.com/eco/images/speakers/Fbfw5n47cRLS7q9HrnK8R4dVt6nCXQqGxWH0k0wq.png","Ryan Sparks is the Americas robotic process automation, intelligent document processing, and watsonx orchestrate program lead at IBM. Ryan has been with IBM for 9 years working in the business automation space. Ryan started his career working in IBM Expert Labs as a consultant helping clients design and implement business automation solutions leveraging IBMs many automation capabilities. Since beginning his role in Expert Labs, he has transitioned to the North American Program Lead focusing on enabling clients and business partners on the power and benefits of business automation.","Pre-Conference Workshops, Focus Days & Main Conference Day One","2024-01-29","10:00:00","B3: Reinventing Business Process through Automation and Generative AI","Despite transformation efforts, many companies are still riddled with manual processes and unstructured data which is hindering these attempts. This session will take a deep look into how we can turn this seemingly overwhelming challenge into opportunities that lead to positive transformation results. In this workshop, we will:
·       Explore IBM’s AI Assistants that bring the power of automation and generative AI technology to employees’ hands
·       Learn how to get started with use cases for driving adoption of generative AI and improving employee productivity
·       Get hands-on experience with IBM watsonx Orchestrate and
watsonx.ai
to build a process for streamlining work and freeing up employees to focus on higher value tasks
Join IBM technical experts, Jeff Goodhue and Ryan Sparks, for this exciting hands-on experience. Please bring your laptop; we will provide access to all of the tools you need to complete the hands-on lab."
"Jason Schulist","President","Generative Local Community Institute","https://eco-cdn.iqpc.com/eco/images/speakers/coSTs3iWIPBNnmXvdjAvkafgbM0DtsqtT2ocKwvV.png","Jason Schulist is President of the Generative Local Community Institute (genlocal.org) whose mission is to connect communities so that they can improve their problem-solving capability and accelerate community impact.  He is also the Executive Director of the Fox Valley Data Exchange, a non-profit that shares publicly available data to support health care, public health, and foundation efforts.  Jason Schulist most recently was the Boldt Company’s Vice President of Operational Excellence.   Jason has spent his 30+ year professional career in the construction, automotive, utility, and paper industries.  He has shepherded three corporate lean transformations sustainably saving over $1B (year over year hard savings).  Jason received his Bachelor of Science Degree in Electrical Engineering from Marquette University and two Masters’ degrees in Electrical Engineering and Management from the Massachusetts Institute of Technology. He is a certified Project Management Professional (PMP) and Lean Six Sigma Blackbelt.  Jason supports Imagine Fox Cities (https://imaginefoxcities.com/) and he co-founded CI-Squared (www.cisquared.org) – the largest continuous improvement volunteer corps in the nation.   He has a passion for addressing thorny community problems and helping each person flourish into their unique potential.","Main Conference Day Two","2024-01-30","11:10:00","IDG C: Rethink Strategy Alignment, Customer Experience and Value Creation with a Process Owners Model",""
"Vincenzo Sposito","Director of Intelligent Automation and Transformation","Discover Financial Services","https://eco-cdn.iqpc.com/eco/images/speakers/xu63fh5kulctNrwM1rWpLS0N13483GWpmEBJMC8u.png","","Pre-Conference Focus Days (Workshops and Focus Days Running Concurrently. Choose THREE workshops or ONE focus day to attend)","2024-01-29","11:40:00","Driving Digital Transformation in Financial Services to Deliver End-to-End Customer Experience","When it comes to digital transformation, business and technology leaders are inundated with a plethora of technologies, platforms and software support their mission. This session will help you to navigate the digital landscape and select the right suite of tools to drive the transformation that matters to your business and to your customers:
·       What is your organization trying to create? How can digital tools support the change you need?
·       Creating a digital transformation strategy that goes beyond the front office experience to the end-to-end improvements behind the scenes
·       How do we prepare for digital transformation with a 3-to-5-year outlook when technology landscape is changing so fast?"
"Bruce Orcutt","Senior Vice President, Product Marketing","ABBYY","https://eco-cdn.iqpc.com/eco/images/speakers/yVcRYne1owpbahRU4orDB93y8LU2zgz3mWIBjOwP.png","","Main Conference Day Two","2024-01-30","11:10:00","IDG G: Effective Process Mining and Analytics to Drive End-to-End Process Optimization",""
"Laxmikant Pukale","Director Intelligent Automation","Mutual of Omaha","https://eco-cdn.iqpc.com/eco/images/speakers/SBfRQUXu87MiMVYzilxz2wZTgCvNjtjZqM91zuOf.png","Lax is currently heading Intelligent Automation COE for Mutual of Omaha which is part of Strategy and Innovation Group. Prior to that he was with USAA where he was leading the Federal Saving Bank’s strategic unit of Intelligent/Robotics Process Automation (IA/RPA) designed to accelerate their journey towards digital workforce and maturity.  He is a results-oriented transformation leader with 15+ years of diverse leadership experience in financial services, having worked with multiple fortune 500 companies including USAA, Citi Bank, GE, and CoreLogic.  Previous to his USAA position, Lax was an Assistant General Manager with Tata Consulting Services (TCS) where he led the BPX (Business Process Excellence) portfolio for a Fortune 500 financial services entity including the establishment of their top governance model and program management framework on Process Excellence (PX) and RPA service delivery.  He also carries the following key certifications: Lean six sigma Black belt, PMP, Agile/Scrum, and Business Process Management (BPM) which align directly with our transformational needs moving forward.","Pre-Conference Focus Days (Workshops and Focus Days Running Concurrently. Choose THREE workshops or ONE focus day to attend)","2024-01-29","11:40:00","Panel Discussion: Supercharging your Traditional Automation Efforts with Generative AI","Many comment that Intelligent Automation is Lean Six Sigma on steroids. Would Generative AI put Intelligent Automation on steroids? How will Generative AI augment traditional automation? This session will answer some of the key questions, including:
·       From process discovery to process mining to RPA: can Generative AI fill in the gaps?
·       Augmenting Human-AI collaboration to harness the power of AI and leave your workforce to focus on higher value activities and processes
·       Will Generative AI eventually go beyond rule-based RPA with greater intelligence and problem-solving capabilities?"
"Praveen Kombial","Vice President, Global Sales Head","EdgeVerve","https://eco-cdn.iqpc.com/eco/images/speakers/IsvpQ1w1Jiqx5b0PQWf6rZMUDwWR9s0nasJmOFya.png","Praveen Kombial Is the Global Sales Head at EdgeVerve, an Infosys company managing relationships, alliances, solution consulting and customer success. His mandate is to leverage the EdgeVerve product lines of Automation, Digitization, Artificial Intelligence and Supply chain Networks to drive a digital transformation agenda with Global 2K companies.     Prior to Infosys, Praveen spent many years at GE Capital and GE Money in India and did a gamut of functions and roles across Retail and Commercial Finance and Risk management.     The Digital and AI industry is at the cusp of building scale and Praveen and his team are involved in solving for Scale connected automation, multi enterprise networks, SaaS platforms and all such aspects that truly help build a Connected Enterprise.     With his background across core Industry domains and the evolving cutting edge technology landscape, Praveen is on the forefront of driving change and brings a practitioner’s view to translate concepts to reality.","Chief Transformation Officer Summit (Invitation Only)","2024-01-30","14:00:00","Leveraging AI in Digital Transformation – A Practitioner’s Perspective","In today's business environment, organizations grapple with a pressing issue – Only 20% of organizations achieved desired digital transformation outcomes [Cite McKinsey Reference: Why do most transformations fail? A conversation with Harry Robinson (mckinsey.com)]. There are several causes, the most consequential of which are Operating in Silos, Suboptimal tech investments and Point solutions. As a business operations and IT Transformation partner to Global 2000 Enterprises, we have identified interventions uniquely brought in by AI to Enterprise Business and IT Operations. These interventions are brought in an AI-powered platform, unifying disparate technologies, to drive success in Process, Data and Technology transformations. We will present what and how PolarisEdge helps our clients succeed in their Digital Transformation journey.
PolarisEdge, an AI-powered platform that bridges silos in people, processes, data, and technology for enterprises, amplifying the value of their existing digital core investments. PolarisEdge, which is part of Infosys Topaz, an AI-first set of services, solutions and platforms using generative AI technologies, strategically responds to the evolving needs of modern enterprises. Join Praveen Kombial, Vice President, Global Sales Head, EdgeVerve and Badri Devalla, PhD, Associate VP, EdgeVerve to understand the need for a platform like PolarisEdge, which bridges the value gap, offering a strategic overlay that enhances the success of digital transformation programs.
·       Unlock efficiency at scale - redefine operational efficiency by digitizing and automating complex business processes, enabling enterprises to achieve a high degree of Straight through processing.
·       Amplify Human Potential - drive productivity while enabling enterprises to engage in a more human-centric way with their customers, employees, and partners.
·       Harnessing the power of Connected Ecosystem - maximize value for end customers through strategic collaboration and integrated journeys."
"Ryan Davis","Director of Process Improvement","Arvest Bank","https://eco-cdn.iqpc.com/eco/images/speakers/pNasmMdDSDKo2nLRYYFO6wiAW0YeMMh8r6XWN1hL.png","Ryan Davis has been the Director of Process Improvement at Arvest Bank since 2017, and he has over 20 years of experience in the banking industry.  He leads Arvest’s efforts to leverage process improvement and intelligent automation across the enterprise.  Prior to his current role, he worked at BOK Financial and at JP Morgan Chase in process improvement, loan operations, and operational risk management capacities.  He is a Lean Six Sigma Black Belt and a Certified Public Accountant.   He has a bachelor’s degree in accounting from Oklahoma State University and an MBA in finance from Indiana University.","Main Conference Day Two","2024-01-30","11:10:00","IDG K: Developing a Successful Process Center of Excellence",""
"Jose Pimenta da Gama","Senior Partner","McKinsey","https://eco-cdn.iqpc.com/eco/images/speakers/ISwbOe1hhDvxyKkEK5QGeEGodUj5ez6laFvDetC3.png","José is the managing partner of McKinsey’s Iberia office. He has deep expertise in guiding organizations toward significant transformation with enduring impact and helping clients with corporate and digital strategy, operations and organizational performance. José’s industry experience spans telecom, utilities, advanced industries, and finance.","Pre-Conference Workshops, Focus Days & Main Conference Day One","2024-01-29","16:30:00","The All-Star Panel: The Time Is Now - The Paradigm Shift from Business Transformation to Business Reinvention & Unlocking the New Growth Frontier","Most business transformations take place in one part of the business and deliver marginal gains on efficiency. However, that will no longer be sufficient for the future transformation landscape. Businesses are required to self-disrupt, reinvent existing business models and embrace paradigm shifts, not only to drive cost benefits, but also to deliver a step change and unlock new growth opportunities. In this thought-provoking all-star session, we have invited the leaders who are driving beyond business transformation to delve into the new possibilities of business reinvention.
·       The time is now: examining the new imperatives for business reinvention
·       What does it take to build self-disruptive customer-centric reinvention strategies?
·       Building a connected and interoperable digital core to leverage the unleash the power of data and AI"
"Stephen Donne","Head of Transformation Delivery","Nottingham Building Society","https://eco-cdn.iqpc.com/eco/images/speakers/NxbSqnUWPdUu13lPp7NpwgxkEQ7HsCQmIS6x4amc.png","Stephen has over 20 years’ experience in the Finance & Banking Industry in the UK. In that time Stephen has held senior positions within multiple organisations, but all have focused on transforming their business by achieving the very best customer outcomes. This means the focus for transformations has been on the end to end Customer and Colleague journeys, using people, process and technology change. This experience has seen Stephen successfully deliver digitalisation programmes that have achieved multi million-dollar benefits and billion dollar growth, with ROI on investment more than doubling. In recent years Stephen has been at PEX with his teams, who have picked up 3 awards for their successful transformations.","Pre-Conference Workshops, Focus Days & Main Conference Day One","2024-01-29","10:00:00","B4: People Centric Optimization to Achieve World Class Results","An important part of any transformation is optimizing what you already have. Amongst the biggest assets of any organization are their people, their teams and their leadership. This interactive workshop session focuses on a goal-oriented approach to aligning customer needs and colleague capabilities in a compliant way to deliver commercial outcomes.
·       Working through our eco system to understand where you are in your journey
·       How to optimize each element of the eco system utilizing known improvement methodologies with a different approach i.e. lean, agile, CI
·       Join the dots from strategy to operations to delivery – overcome the barriers
·       Establish aligned goals to achieve transformation momentum"
"James Henderson","CEO","Mindzie","https://eco-cdn.iqpc.com/eco/images/speakers/w7obHWaLkW7wUT9ZfJJfTiaGqHtP2ehYTQwPAaxw.png","Mr. Henderson has a passion for efficiency and process optimization. With over 20 years’ experience overseeing both domestic and international business strategies in a variety of industries including Security, IT and Technology. Previously the President and COO of Avigilon (TSX:AVO) where he led the sales process resulting in a USD $1 Billion acquisition.","Pre-Conference Workshops, Focus Days & Main Conference Day One","2024-01-29","11:40:00","C3: Achieving Operational Excellence through process intelligence","The biggest risk to an enterprise is its blind spots — in how work is performed, its operational processes, and organizational data. Uncovering these blind spots is the first step to achieving end-to- end process excellence. This interactive workshop will focus on:
-       Starting on the right foot: understanding how the organization runs and where the opportunities are.
-       Identifying the project: start with a targeted outcome to provide value quickly.
-       Building the business case: how to present the project internally for approval.
-       Expanding the scope: let the results drive the next step.
-       Operationalizing: turning your one-time project into a continuous improvement effort
This session will include real experiences across a range of industries."
"Bo Jessop","Director of Continuous Improvement","Radial","https://eco-cdn.iqpc.com/eco/images/speakers/6Olms8yhdzQUWHkViW9Uy5dAIgxaUqXVvCKwBrub.png","Bo has over 20 years’ experience leading and delivering operational excellence across multiple industries.  In his current role, he is responsible for driving Continuous Improvement across 25 Fulfillment Centers, providing change leadership, strategic deployment, program development, and network-wide collaboration to improve, develop, and implement standard best practices.  Bo started his career serving in the United States Air Force.  It was here that he developed his keen ability to solve problems by maintaining and troubleshooting Air Traffic Control and mobile communications systems.  In addition to these skills, he also developed a passion for unifying teams around a common goal.  Bo’s determination to build teams, resolve constraints, and plan and deploy strategy have proven beneficial in achieving organizational growth throughout his career.  Bo is a Lean Six Sigma Master Black Belt, holds an MBA, a Bachelor of Science in Resource and Technology Management, and is currently pursuing his PhD in Organization and Management.","Main Conference Day Three & Post-Conference Masterclasses","2024-01-31","11:40:00","An Award-Winning Case Study: Deploying a Powerful Continuous Improvement Program to Change the Organizational Culture, Improve Customer Experience and Drive Topline Growth","Since 2017, The Radial Continuous Improvement (CI) program has grown into the culture’s DNA. Their ability to drive deep company-wide cultural change has won them the Best Operational Excellence Transformation Program over 2 Years at the Global OPEX Awards. This case study will provide a deep dive into their award-winning journey and share ground-breaking new initiatives currently ongoing within the organization.
·       Why do people overlook change management and what are the implications when that’s not done properly?
·       Sharing the Radial change management approach to build a model of how we should operate across the entire organization
·       An exciting new approach: how have we gamified our change management initiatives to make them fun for the teams?
·       Sharing the gamification results after one year of implementation"
